Key,Id,Korean (South Korea)(ko-KR),English(en),Chinese (Simplified)(zh-CN),Chinese (Traditional)(zh-TW),Hindi (India)(hi-IN),Japanese (Japan)(ja-JP)
"Day2_Intro_4",25350855875092480,"미카 코지마: 또한 업무 활동 구역이 넓어졌으므로,","Mika Kojima: Also, since the work area has expanded,","小岛美香：此外，由于工作区域扩大了，","小島美香：此外，由於工作區域擴大了，","मिका कोजिमा: इसके अलावा, कार्य क्षेत्र का विस्तार किया गया है, इसलिए","美香小島: また、業務活動区域が広くなったため、"
"Day2_Intro_5",25350865303887872,"미카 코지마: 지도를 잘 보시고 지침서 잘 읽으시길 바랍니다. ","Mika Kojima: Please make sure to carefully review the map and thoroughly read the guidelines.","小岛美香：请仔细查看地图，并认真阅读指导手册。","小島美香：請仔細查看地圖，並認真閱讀指導手冊。","मिका कोजिमा: कृपया मानचित्र को ध्यान से देखें और दिशानिर्देशों को अच्छी तरह से पढ़ें।","美香小島: 地図をよくご覧でくださって、指針書をきちんと読んでください。"
"Day2_Intro_6",25351066177495040,"미카 코지마 : 오늘도 안전한 업무 수행 부탁드리겠습니다.","Mika Kojima: Please ensure a safe workday today as well.","小岛美香：今天也请安全地完成工作。","小島美香：今天也請安全地完成工作。","मिका कोजिमा : आज भी सुरक्षित रूप से काम करने का अनुरोध करती हूं।","美香小島: 今日も安全な業務遂行をお願いします。"
"Day3_Intro_1",25357496532066304,"미카 코지마: 안녕하십니까, 히로시씨. ","Mika Kojima: Hello, Hiroshi. This is Mika Kojima.","小岛美香：您好，浩志先生。","小島美香：您好，浩志先生。","मिका कोजिमा: नमस्ते, हिरोशी जी।","美香小島: おはようございます、博志さん。"
"Day3_Intro_2",25358427722080256,"미카 코지마: 오늘도 어제와 마찬가지로 업무가 추가 되었습니다. 잘 부탁드립니다. ","Mika Kojima: Just like yesterday, additional tasks have been assigned today. I appreciate your continued support.","小岛美香：今天的工作和昨天一样有所增加。请多多关照。","小島美香：今天的工作和昨天一樣有所增加。請多多關照。","मिका कोजिमा: आज भी कल की तरह ही काम में इजाफा किया गया है। कृपया ध्यान दें।","美香小島: 今日も昨日と同じように業務が追加されました。よろしくお願いします。"
"Day3_Intro_3",25358433124343808,"미카 코지마: 히로시씨 스케줄을 보니 내일이 휴가이더군요.","Mika Kojima: I noticed from your schedule that you have a day off tomorrow, Hiroshi.","小岛美香：看了日程安排，发现明天是休假。","小島美香：看了日程安排，發現明天是休假。","मिका कोजिमा: मैंने हिरोशी जी का शेड्यूल देखा और पाया कि कल आपकी छुट्टी है।","美香小島: 博志さんのスケジュールを見ると明日が休みでした。"
"Day3_Intro_4",25359008532520960,"미카 코지마: 마지막까지 다치지 마시고 잘 마무리하셔서 행복한 휴일 보내시면 좋겠습니다.","Mika Kojima: I hope you finish everything safely without any injuries and have a wonderful holiday.","小岛美香：希望您最后不要受伤，顺利完成工作，度过一个愉快的假期。","小島美香：希望您最後不要受傷，順利完成工作，度過一個愉快的假期。","मिका कोजिमा: कृपया अंत तक सुरक्षित रहें और अपना काम अच्छे से खत्म करके एक सुखद छुट्टी का आनंद लें।","美香小島: 最後の日までお怪我をされないように気をつけて、幸せな休日をお過ごしください。"
"Day3_Intro_5",25359194403102720,"미카 코지마: 오늘도 안전한 업무 수행 부탁드리겠습니다.","Mika Kojima: I ask for your safe work today as well.","小岛美香：今天也请您安全地完成工作。","小島美香：今天也請您安全地完成工作。","मिका कोजिमा: आज भी सुरक्षित रूप से काम करने का अनुरोध करती हूं।","美香小島: 今日も安全な業務遂行をお願いします。"
"Rule_Notice",25378746306387968,"<align=center><b><size=40>지침서</size></b></align>","<align=center><b><size=40>MANUAL</size></b></align>","<align=center><b><size=40>指南</size></b></align>","<align=center><b><size=40>指南</size></b></align>","<align=center><b><size=40>निर्देशिका</size></b></align>","<align=center><b><size=40>指針書</size></b></align>"
"Situation302",25378884307378176,"순찰 시 혹은 CCTV 관찰 시 302호의 방문이 열려있을 경우 절대 방안에 들어가지말고 즉시 문을 닫아주시기 바랍니다.","When patrolling or observing through CCTV, if the door of Room 302 is found open, please do not enter the room under any circumstances and immediately close the door.","巡逻时或监控时，如果302号房的门是开着的，请务必不要进入房间，立即关上门。","巡邏時或監控時，如果302號房的門是開著的，請務必不要進入房間，立即關上門。","गश्त करते समय या सीसीटीवी निगरानी के दौरान यदि 302 नंबर का दरवाजा खुला हो, तो कृपया कमरे में न जाएं और तुरंत दरवाजा बंद कर दें।","見回りやCCTVを観察する時、302号のドアが開いている場合は、絶対に部屋に入らず、早速ドアを閉めてください。"
"Situation405",25382876928270336,"405호의 손님한테서 전화가 와 뭔가를 조치해달라고하면 대답하시고 cctv를 확인하십시오.
CCTV로 4층 복도를 확인 후 이상한게 보인다면 4층을 가지 마십시오.","
If you receive a call from the guest in Room 405 asking for assistance, respond to them and check the CCTV. After checking the 4th floor hallway on the CCTV, if you notice anything unusual, do not go to the 4th floor.","如果405号房的客人打电话来要求处理某件事，请回应他们并检查CCTV。

检查完CCTV中的4楼走廊后，如果发现异常，请不要前往4楼。","如果405號房的客人打電話來要求處理某件事，請回應他們並檢查CCTV。

檢查完CCTV中的4樓走廊後，如果發現異常，請不要前往4樓。","यदि 405 नंबर के कमरे के मेहमान से फोन आए और किसी कार्रवाई के लिए कहे, तो कृपया जवाब दें और सीसीटीवी की जांच करें। सीसीटीवी से चौथे मंजिल के गलियारे की जांच करने के बाद यदि कोई असामान्यता दिखे, तो चौथे मंजिल पर न जाएं।","405号のお客様から電話がかってきて、何かを処置してほしいと言われたら、お答えいただき、CCTVを確認してください。
CCTVで4階の廊下を確認した後、変なものが見えたら4階に行かないでください。"
"SituationBlackout",25383079588651008,"근무 중 호텔전체에 정전이 발생할 경우 지하 1층 전기실로 가 두꺼비 집의 레버를 모두 다시 올려주십시오.
절대 정전상태를 오래 유지하지 않도록 해주십시오.","In the event of a power outage throughout the entire hotel during your shift, please go to the electrical room on the B1 and reset all the circuit breakers by switching the levers back up. Make sure not to leave the power outage unattended for an extended period.","在工作期间如果酒店全楼停电，请前往地下1层的电气室，将所有的断路器重新打开。

请务必不要让停电状态持续太久。","在工作期間如果酒店全樓停電，請前往地下1層的電氣室，將所有的斷路器重新打開。

請務必不要讓停電狀態持續太久。","ड्यूटी के दौरान यदि होटल में पूरी तरह से बिजली चली जाए, तो कृपया बेसमेंट 1 के बिजली कक्ष में जाएं और सभी ब्रेकरों को पुनः चालू करें। कृपया सुनिश्चित करें कि बिजली की कटौती लंबे समय तक जारी न रहे।","勤務中にホテル全体に停電が発生した場合、地下1階の電気室に行って電源ブレーカのレバーをすべて上げ直してください。
絶対に停電状態を長く維持しないようにしてください。"
"SituationCCTV",25384962801786880,"? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?","? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?","? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?","? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?","? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?","? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?"
"SituationElevator",25385177474654208,"엘리베이터를 이용 중 지하 2층을 가게 될 경우 즉시 다른 층 버튼을 눌러 이동하십시오.
절대 엘리베이터 밖으로 나가지 마십시오.","If you find yourself heading to the B2 while using the elevator, immediately press a button for another floor to move away. Under no circumstances should you exit the elevator.","如果在使用电梯时到达地下2层，请立即按下其他楼层的按钮继续移动。

绝对不要离开电梯。","如果在使用電梯時到達地下2層，請立即按下其他樓層的按鈕繼續移動。

絕對不要離開電梯。","यदि आप लिफ्ट का उपयोग करते समय बेसमेंट 2 पर पहुंच जाएं, तो तुरंत किसी अन्य मंजिल का बटन दबाकर स्थानांतरित हो जाएं। कृपया लिफ्ट के बाहर बिल्कुल न जाएं।","エレベーターを利用中に地下2階に行く場合は、すぐに別の階のボタンを押して移動してください。
絶対エレベーターの外に出ないでください。"
"SituationGhostSound",25385392592117760,"근무 중 이상한 소리가 들리기 시작한다면 소리가 들리지 않는 곳으로 멀리 뛰어가십시오.
소리가 안들리게 되면 다시 하던 일을 하십시오.","If you start hearing strange noises during your shift, quickly run away to a place where the sound cannot be heard. Once the noise is no longer audible, you may resume your work.","如果在工作期间开始听到异常的声音，请立即跑到听不到声音的地方。","如果在工作期間開始聽到異常的聲音，請立即跑到聽不到聲音的地方。","काम के दौरान अगर अजीब आवाजें सुनाई देने लगती हैं, तो कृपया आवाजें न सुनाई देने वाली जगह पर तुरंत भाग जाएं। जब आवाजें बंद हो जाएं, तो फिर से अपने काम पर लौटें।","勤務中に変な音が聞こえ始めたら、音が聞こえないところまで走ってください。
音が聞こえなくなったら、また仕事をしてください。"
"SituationLockerRoom",25385779290169344,"지하 1층의 라커룸에 있을 때 문이 저절로 닫히는 현상이 발생하거나 라커룸 외부에서 검은 인간의 형체가 보이더라도 이를 무시하십시오. 그리고 절대 그것이 무엇인지 알아보려고 하지 마십시오.","If the door in the locker room on B1 closes by itself or if you see a black human figure outside the locker room, please ignore it. Under no circumstances should you try to find out what it is.","如果在地下1层的储物间内遇到门自动关闭的现象，或看到储物间外有黑色人形的身影，请忽略这些现象。绝对不要试图弄清楚那是什么。","如果在地下1層的儲物間內遇到門自動關閉的現象，或看到儲物間外有黑色人形的身影，請忽略這些現象。絕對不要試圖弄清楚那是什麼。","यदि आप बेसमेंट 1 के लॉकर रूम में हैं और दरवाजा अपने आप बंद हो जाता है या लॉकर रूम के बाहर एक काले मानव आकृति को देखते हैं, तो कृपया इसे नजरअंदाज करें। और कृपया कभी भी यह जानने की कोशिश न करें कि यह क्या है।","地下1階のロッカールームにいる時、ドアが自然に閉まる現象が発生したり、ロッカールームの外部から黒い人間の形が見えてもこれを無視してください。そして、絶対にそれについて調べないでください。"
"SituationLookAt",25386233810116608,"순찰 도중 투숙객이 가만히 서서 자신을 쳐다보고 있다면 절대 눈을 돌리지말고 뒷걸음질로 도망치십시오.","If, during your patrol, you encounter a guest standing still and staring at you, do not look away. Instead, back away slowly while keeping your eyes on them, and then run away.","巡逻时，如果发现客人静静地站在那里盯着你看，请绝不要移开视线，而是立即退后逃跑。","巡邏時，如果發現客人靜靜地站在那裡盯著你看，請絕不要移開視線，而是立即退後逃跑。","गश्त के दौरान यदि कोई मेहमान静िओर झुर हीक की सोही पर खड़ा हो और आपको घूर रहा हो, तो कृपया अपनी नज़रें न हटाएँ और पीछे की ओर चलते हुए वहां से भाग जाएं।","見回り中にゲストがじっと立って自分を見つめている場合は、絶対に目を逸らさず、後ずさりで逃げください。"
"SituationRoomBlink",25386350755700736,"객실 순찰 도중 전구가 깜빡거린다면 신속히 객실 문 오른쪽에 있는 배선함을 열고 수리하여 전기를 복구해주십시오.","If a light bulb starts flickering during a room patrol, quickly open the electrical panel on the right side of the room's door and repair it to restore the electricity.","在巡视客房时，如果发现灯泡闪烁，请迅速打开客房门右侧的配电箱，进行修理以恢复电力。","在巡視客房時，如果發現燈泡閃爍，請迅速打開客房門右側的配電箱，進行修理以恢復電力。","कमरे की गश्त के दौरान यदि बल्ब झपकता है, तो कृपया तुरंत कमरे के दरवाजे के दाईं ओर स्थित वायरिंग पैनल को खोलें और मरम्मत कर के बिजली बहाल करें।","客室の見回り中に電球が点滅したら、速やかに客室ドアの右側にある配線箱を開けて修理して電気を復旧してください。"
"SituationStairLoop",25386484839211008,"계단을 이용하던 중 같은 곳을 반복하는 느낌이 든다면 문 옆에 있는 액자를 잘 확인해 주십시오.
액자가 잘 걸려있다면 위로, 반대로 걸려있다면 아래로..","If you feel like you are repeating the same place while using the stairs, carefully check the picture frame next to the door. If the frame is hanging correctly, proceed upward, if it is hanging upside down, proceed downward.","如果在使用楼梯时感觉自己在重复走同一个地方，请仔细检查门旁的画框。
如果画框挂得正确定，请向上走；如果挂得反方向，请向下走。","如果在使用樓梯時感覺自己在重複走同一個地方，請仔細檢查門旁的畫框。 
如果畫框掛得正確，請向上走；如果掛得反方向，請向下走。","यदि आप सीढ़ियों का उपयोग करते समय एक ही जगह को बार-बार महसूस करते हैं, तो कृपया दरवाजे के पास की तस्वीर को ध्यान से देखें। यदि तस्वीर सही तरीके से लटकी हुई है, तो ऊपर की ओर जाएं, और यदि उलटी लटकी हुई है, तो नीचे की ओर जाएं।","階段を利用する時、同じところを繰り返しているような気がしたら、ドアの横にある額縁を確実に確認してください。
額縁がうまく掛かっていれば上に、逆に掛かっていれば下に…"
"SituationStrangeDoor",25386879787458560,"호텔 객실 복도에서 비상계단이 있어야 할 위치에 방이 존재한다면 절대 그 안으로 들어가지 마십시오. 
우리 호텔은 각 층마다 4개의 객실만 존재합니다.","If you find a room where the emergency stairwell should be in the hotel hallway, do not enter it under any circumstances. Our hotel only has four rooms on each floor.","如果在酒店客房走廊中发现应该有紧急楼梯的位置却存在一个房间，请绝不要进入该房间。我们酒店每层仅有4个客房。","如果在酒店客房走廊中發現應該有緊急樓梯的位置卻存在一個房間，請絕不要進入該房間。我們酒店每層僅有4個客房。","यदि होटल के कमरे के गलियारे में आपातकालीन सीढ़ियों की स्थिति पर एक कमरा पाया जाए, तो कृपया उस कमरे में बिल्कुल न जाएं। हमारे होटल में प्रत्येक मंजिल पर केवल 4 कमरे होते हैं।","ホテルの客室の廊下で非常階段があるはずの位置に部屋がある場合は、絶対にその中に入らないでください。
当ホテルは各階に4部屋しかございません。"
"SituationWaterCutoff",25387009504698368,"데스크의 전화기로 단수가 되었다는 소리를 들을경우 지하1층 수도실로 가서 밸브를 돌리십시오.
절대 단수상태를 오래 유지하지 않도록 해주십시오.","If you receive a call on the desk phone about a water outage, go to the water room on B1 and turn the valve. Make sure not to leave the water outage unattended for an extended period.","如果通过前台电话听到停水的声音，请前往地下1层的水务室，旋转阀门以恢复供水。

请务必不要让停水状态持续太久。","如果通過前台電話聽到停水的聲音，請前往地下1層的水務室，旋轉閥門以恢復供水。

請務必不要讓停水狀態持續太久。","यदि डेस्क के फोन पर पानी की कटौती की सूचना मिले, तो कृपया बेसमेंट 1 के पानी के कक्ष में जाएं और वाल्व को घुमाएं। कृपया सुनिश्चित करें कि पानी की कटौती लंबे समय तक जारी न रहे।","デスクの電話機で断水したと言われたら、地下1階の水道室に行って、バルブを回してください。
絶対に断水状態を長く維持しないようにしてください。"
"Map",25396510300102656,"지도","Map","地图","地圖","मानचित्र","地図"
"Map.Description",25411266469158912,"호텔의 도면 입니다. 도면을 보면 일을 수월하게 할 수 있습니다.","Here is the floor plan of the hotel. Reviewing it will help you carry out your tasks more efficiently.","这是酒店的平面图。查看平面图可以使工作更为顺利。","這是酒店的平面圖。查看平面圖可以使工作更為順利。","यह होटल का मानचित्र है। मानचित्र देखने से आप अपने काम को अधिक सुगमता से कर सकते हैं।","ホテルの図面です。図面を見れば仕事を容易にできます。"
"Take",26761195359821824,"획득","Acquire","获得","獲得","प्राप्ति","獲得"
"ToiletPaper",26790941880279040,"휴지","Toilet Paper","纸巾","紙巾","टिशू","トイレットペーパー"
"ToiletPaper.Description",26790996875993088,"3겹의 매우 얇고 부드러운 종이로 이루어져 있는 흰색 휴지. 1층 로비의 화장실에 비치된다.","White toilet paper made of three layers of very thin and soft paper. It is provided in the restroom on the 1st-floor lobby.","由三层非常薄且柔软的白色纸张制成的纸巾。放置在1楼大厅的洗手间中。","由三層非常薄且柔軟的白色紙張製成的紙巾。放置在1樓大廳的洗手間中。","तीन परतों का बहुत पतला और मुलायम सफेद कागज़। यह पहली मंजिल के लॉबी के बाथरूम में उपलब्ध है।","3枚の非常に薄く柔らかい紙で作られている白いトイレットペーパー。1階ロビーのトイレに配置される。"
"QuestToiletPaper",26793416716771328,"<color=""yellow"">지하1층 비품실</color>에서 휴지를 챙겨 <color=""yellow"">1층 화장실</color>에 채워 넣어주세요.","Please take some toilet paper from the <color=""yellow"">storage room on B1</color> and refill the restroom on the <color=""yellow"">first floor.</color>","请从<color=""yellow"">地下1层储物间</color>取出纸巾，并补充到<color=""yellow"">1楼洗手间</color>中。","請從<color=""yellow"">地下1層儲物間</color>取出紙巾，並補充到<color=""yellow"">1樓洗手間</color>中。","<color=""yellow"">बसेमेंट 1 का स्टोर रूम</color> से कागज़ ले लें और उसे <color=""yellow"">पहली मंजिल के बाथरूम</color> में भर दें।","<color=""yellow"">地下1階の備品室</color>からトイレットペーパーを取り、<color=""yellow"">1階のトイレ</color>に補充してください。"
"Towel",26822190493655040,"수건","Towel","毛巾","毛巾","तौलिया","タオル"
"Towel.Description",26822254658117632,"직사각형 모양의 흰색 수건. 호텔 어메니티 물품 중 하나다.","A rectangular white towel, which is one of the hotel's amenity items.","矩形的白色毛巾。酒店的一个配套设施。","矩形的白色毛巾。酒店的一個配套設施。","आयताकार सफेद तौलिया। यह होटल की सुविधाओं में से एक है।","長方形の白いタオル。ホテルアメニティの一つだ。"
"Toothbrush",26823947017838592,"칫솔","Toothbrush","牙刷","牙刷","ब्रश","歯ブラシ"
"Toothbrush.Description",26824198994845696,"흰색의 일회용 칫솔. 호텔 어메니티 물품 중 하나다.","A white disposable toothbrush, which is one of the hotel's amenity items.","白色一次性牙刷。酒店的一个配套设施。","白色一次性牙刷。酒店的一個配套設施。","सफेद रंग की एक बार उपयोग करने वाली टूथब्रश। यह होटल की सुविधाओं में से एक है।","白い使い捨て歯ブラシ。ホテルアメニティの一つだ。"
"Shaver",26825244269928448,"면도기","Shaver","剃须刀","剃鬚刀","रेजर","T字型カミソリ"
"Shaver.Description",26825296962969600,"면도를 하기 위한 도구. 호텔 어메니티 물품 중 하나다.","A shaving tool, which is one of the hotel's amenity items.","用于剃须的工具。酒店的一个配套设施。","用於剃鬚的工具。酒店的一個配套設施。","ब्रेडिंग के लिए उपकरण। यह होटल की सुविधाओं में से एक है।","剃るための道具。ホテルアメニティの一つだ。"
"QuestAmenityService",26826227528032256,"<color=""yellow"">{0}호</color>에 부족한 룸서비스(어메니티)를 채워넣으십시오.","Please restock the room service amenities that are lacking in Room <color=""yellow"">{0}</color>.","请补充<color=""yellow"">{0}号</color>房间缺少的客房服务（配套设施）。","請補充<color=""yellow"">{0}號</color>房間缺少的客房服務（配套設施）。","<color=""yellow"">{0} नंबर</color> पर कमी आई हुई रूम सर्विस (सुविधाएँ) भरें।","<color=""yellow"">{0}号</color>に足りないルームサービス(アメニティ)を補充してください。"
"Report",29533278804369408,"보고","Report","报告","報告","रिपोर्ट","報告"
"Computer",29533514436173824,"컴퓨터","Computer","电脑","電腦","कंप्यूटर","パソコン"
"Report_Warning",29546151542775808,"완료되지 않은 업무가 존재합니다.","There are tasks that remain incomplete.","存在未完成的工作。","存在未完成的工作。","अपूर्ण कार्य मौजूद है।","未完了の業務が存在します。"
"Delivery Box",32050098668924928,"택배 상자","Delivery Box","快递箱","快遞箱","डिलीवरी बॉक्स","宅配便ボックス"
"Grab",32050810752692224,"들기","Grab","提起","提起","उठाना","持ち上げる"
"QuestDelivery",32103154991329280,"새벽 근무 중 택배가 도착하면 호출 벨이 울립니다.
택배는 1층 데스크에 있으니 <color=""yellow"">지하 1층 비품실</color>로 옮겨주세요.","If a delivery arrives during the night shift, the call bell will ring. The package will be at the 1st-floor desk, so please move it to the storage room on <color=""yellow"">B1<color>.","在凌晨值班时，如果有快递到达，会响起呼叫铃。快递在1楼前台，请将其搬到<color=""yellow"">地下1层储物间</color>。","在凌晨值班時，如果有快遞到達，會響起呼叫鈴。快遞在1樓前台，請將其搬到<color=""yellow"">地下1層儲物間</color>。","सुबह के समय में ड्यूटी के दौरान यदि कोई पैकेज arrives, तो कॉल बेल बज जाएगी। पैकेज फ्रंट डेस्क पर है, कृपया इसे <color=yellow"">बेसमेंट 1 के स्टोर रूम</color> में ले जाएं।""","早朝の勤務中に宅配便が到着すると呼び出しベルが鳴ります。
宅配便は1階のデスクにございますので、<color=""yellow"">地下1階の備品室<color>移してください。"""
"WaterTap",32140600826499072,"수도꼭지","Water Tap","水龙头","水龍頭","नल","蛇口"
"QuestWashStand",32140789683425280,"<color=""yellow"">1층 화장실</color>을 순찰하며 세면대에 물이 틀려있는지 확인하십시오.
물이 틀려져 있을 경우 잠가주시기 바랍니다.","While patrolling the restroom on the <color=""yellow"">first floor</color>, please check if the sink faucet is running. If the water is running, please turn it off.","在巡逻<color=""yellow"">1楼洗手间</color>时，请检查洗手盆的水龙头是否开启。如果水龙头开着，请将其关闭。","在巡邏<color=""yellow"">1樓洗手間</color>時，請檢查洗手盆的水龍頭是否開啟。如果水龍頭開著，請將其關閉。","<color=""yellow"">पहली मंजिल के बाथरूम</color> की गश्त करते समय कृपया वॉशबेसिन में पानी खुला है या नहीं, यह सुनिश्चित करें। यदि पानी खुला हो, तो कृपया उसे बंद कर दें।","<color=""yellow"">1階のトイレ</color>を見回りしながら、洗面台に蛇口がひねているか確認してください。
蛇口がひねている場合は、蛇口を閉めてください。"
"QuestFrame",32183022362615808,"건물을 순찰하며 기울어져 있거나 떨어진 그림을 똑바로 걸어주십시오.","While patrolling the building, please straighten or rehang any tilted or fallen pictures.","在巡逻建筑时，请将倾斜或掉落的画框挂正。","在巡邏建築時，請將傾斜或掉落的畫框掛正。","इमारत की गश्त करते समय, कृपया झुकी हुई या गिरी हुई तस्वीरों को सीधा लटका दें।","建物を見回して、傾いたり離れたりした絵をきちんとかけてください。"
"Frame",32184965566881792,"액자","Frame","画框","畫框","फ्रेम","額縁"
"HangStraight",32187377195212800,"꾹 눌러서 액자 똑바로 걸기","Press and hold to hang the frame straight","“按住把画框挂正”","“按住把畫框掛正”","अच्छी तरह से दबाकर सीधा लटकाना","ぎゅっと押して額縁をきちんとかける"
"LockedHint",37889237885444096,"문이 잠겨 있습니다.
키를 찾으십시오.","The door is locked.
Please find the key.","门被锁上了。请找到钥匙。","門被鎖上了。請找到鑰匙。","दरवाजा बंद है। कृपया चाबी ढूंढें।","ドアが閉まっています。
鍵を探してください。"
"Supply Room",46998831614189568,"비품실","Supply Room","储物间","儲物間","स्टोर रूम","備品室"
"Pump Room",46998928401948672,"수도실","Pump Room","水务室","水務室","पानी की चाबी कक्ष","水道室"
"Restricted Room",46999000086798336,"통제구역","Restricted Room","控制区域","控制區域","नियंत्रण क्षेत्र","管理区域"
"Locker Room",46999058924494848,"라커룸","Locker Room","更衣室","更衣室","लॉकर रूम","ロッカールーム"
"FirstAddItem",47103816297406464,"TAB 키를 눌러 인벤토리를 확인하세요.","Press the TAB key to check your inventory.","请按 TAB 键查看库存。","請按 TAB 鍵查看庫存。","इन्वेंट्री की जाँच के लिए TAB कुंजी दबाएँ।","TABキーを押してインベントリを確認してください。"
"Day1_Intro_9",62670970077306880,"미카 코지마:  모든 업무를 수행하셨다면 왼쪽에 있는 노트북으로 보고 해주시면 됩니다.","Mika Kojima: If you've completed all your tasks, please report them using the laptop on the left.","小岛美香：如果您完成了所有任务，请使用左侧的笔记本进行报告。","小島美香：如果您完成了所有任務，請使用左側的筆記本進行報告。","मिका कोजीमा: यदि आपने सभी काम पूरा कर लिया है, तो कृपया बाएँ तरफ की लैपटॉप पर रिपोर्ट करें।","美香小島:すべての業務を遂行したら左側にあるノートパソコンで報告してくだされば良いです。"
"Report_QuestFinish",76789641546743808,"모든 업무를 완료했습니다.
1층에서 업무보고를 해주세요.","All tasks have been completed.
Please report to the first floor.","所有任务已完成。请在1楼进行工作报告。","所有任務已完成。請在1樓進行工作報告。","सभी कार्य पूरा हो गए हैं। कृपया पहली मंजिल पर रिपोर्ट दें।","すべての業務を完了しました。
1階で業務報告をしてください。"
"Day1_Intro_3",78207670353293312,"미카 코지마: 클릭하여 확인해 주세요.","Mika Kojima: Please click to check.","小岛美香：请点击查看。","小島美香：請點擊查看。","मिका कोजीमा: कृपया क्लिक करके जांचें।","美香小島:クリックしてご確認ください。"
"Report_Situation",79930231197954048,"지침서를 확인하여 조치해 주십시오.","Please consult the manual and take action.","请查阅指导手册并采取相应措施。","請查閱指導手冊並採取相應措施。","कृपया मार्गदर्शिका की समीक्षा करें और आवश्यक कार्रवाई करें।","指針書を確認して処置してください。"
"Report_Paper",79962390534873088,"지침서와 할일 목록을 확인해주세요.","Please check the manual and the to-do list.","请查看指导手册和待办事项列表。","請查看指導手冊和待辦事項列表。","कृपया मार्गदर्शिका और टू-डू सूची की जांच करें।","指針書とやることリストを確認してください。"
"Play",82899878876704768,"재생","Play","播放","播放","प्ले","再生"
"VideoTape",82901114585772032,"비디오 테이프","Video Tape","录像带","錄影帶","वीडियो टेप","ビデオテープ"
"Manual",82903696397987840,"설명","Manual","说明书","說明書","मार्गदर्शिका","説明書"
"Insert",82904734970572800,"삽입","Insert","插入","插入","सम्मिलित करें","挿入"
"VideoTape.Description",82910810071789568,"영상을 기록하거나 재생하는 매체. 과거 영화나 TV 프로그램을 저장하는 데 사용됨.","A medium for recording or playing videos. Used in the past to store movies or TV programs.","用于记录或播放视频的介质。过去用于存储电影或电视节目。","用於記錄或播放視頻的介質。過去用於存儲電影或電視節目。","वीडियो रिकॉर्ड या प्ले करने के लिए एक माध्यम। अतीत में फिल्मों या टीवी कार्यक्रमों को संग्रहीत करने के लिए उपयोग किया जाता था।","映像を記録または再生する媒体。かつて映画やテレビ番組を保存するために使用されていました。"
"SituationCCTV_2",83298329864757248,"경찰에 신고하십시오.","Report to the police.","报警。","報警。","पुलिस को रिपोर्ट करो।","警察に通報しなさい。"
"Report_CCTV",83309049658531840,"CCTV를 보십시오.","Watch the CCTV.","看监控。","看監控。","CCTV देखो।","CCTVを見なさい。"
"SituationCCTV_3",84024350992134144,"타카야마 히로시 : 여보세요! 경찰서죠? 여기 사람이 죽었어요! 빨리 와주세요. 장소는 와즈마 호텔입니다.","Hiroshi Takayama: Hello! Is this the police station? Someone has died here! Please come quickly. The location is the Wazma Hotel.","高山广志: 你好！是警察局吗？这里有人死了！请快点过来。地点是瓦兹玛酒店。","高山廣志: 你好！是警察局嗎？這裡有人死了！請快點過來。地點是瓦茲瑪酒店。","हेलो! क्या यह पुलिस स्टेशन है? यहाँ एक व्यक्ति की मौत हो गई है! कृपया जल्दी से आएं। स्थान वाजमा होटल है।","高山博志: こんばんは！警察ですか？ここで人が死んでいます！早く来てください。場所はワズマホテルです。"
"Report_CCTV_2",94830946275614720,"최대한 빠르게 지침서를 확인 후 대처 해주십시오.","Review the manual immediately and take action.","立即查看手册并采取行动。","立即查看手冊並採取行動。","तुरंत मैनुअल की जाँच करें और कार्रवाई करें।","直ちにマニュアルを確認し、対応せよ。"
